MeasPlan.Name;ET6-Teiler
Name;Frei Waldemar
Fahrzeug;ET323
Kilometerstand;2626436
Datum;22.04.2026
MeasObject.Name;MeasObject.Prop.Name.0;MeasObject.Prop.Value.0;MeasPoint.Name;Dimension.Name;Dimension.Value;Dimension.Unit;Dimension.Classification
Achse52;Achsennummer;BV20250;Differenz Durchmesser;DDA1;0,11;mm;i.o
Achse52;Achsennummer;BV20250;AR-Radinnenabstand;AR;unmeasured;mm;UNCLASSIFIED
Achse52;Achsennummer;BV20250;SR-Spurmaß;SR;unmeasured;mm;UNCLASSIFIED
Achse51;Achsennummer;BV11868;Spurkranz links;Sh;32,88;mm;i.o
Achse51;Achsennummer;BV11868;Spurkranz links;Sd;30,41;mm;i.o
Achse51;Achsennummer;BV11868;Spurkranz links;qR;11,01;mm;i.o
Achse51;Achsennummer;BV11868;Raddurchmesser links;Dlk;737,75;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Links Innen;BH;0,68;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Links Innen;Bst;5,01;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Links Innen;WS;4,32;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Links Außen;BH;0,60;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Links Außen;Bst;5,12;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Links Außen;WS;4,51;mm;i.o
Achse51;Achsennummer;BV11868;Spurkranz rechts;Sh;32,88;mm;i.o
Achse51;Achsennummer;BV11868;Spurkranz rechts;Sd;30,31;mm;i.o
Achse51;Achsennummer;BV11868;Spurkranz rechts;qR;11,18;mm;i.o
Achse51;Achsennummer;BV11868;Raddurchmesser Rechts;Dlk;737,65;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Rechts Innen;BH;0,72;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Rechts Innen;Bst;5,03;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Rechts Innen;WS;4,30;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Rechts Außen;BH;0,44;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Rechts Außen;Bst;5,21;mm;i.o
Achse51;Achsennummer;BV11868;Bremsscheibe Rechts Außen;WS;4,77;mm;i.o
Achse51;Achsennummer;BV11868;Differenz Durchmesser;DDA1;0,10;mm;i.o
Achse51;Achsennummer;BV11868;AR-Radinnenabstand;AR;unmeasured;mm;UNCLASSIFIED
Achse51;Achsennummer;BV11868;SR-Spurmaß;SR;unmeasured;mm;UNCLASSIFIED
Achse62;Achsennummer;BV10909;Spurkranz links;Sh;33,00;mm;i.o
Achse62;Achsennummer;BV10909;Spurkranz links;Sd;30,46;mm;i.o
Achse62;Achsennummer;BV10909;Spurkranz links;qR;11,11;mm;i.o
Achse62;Achsennummer;BV10909;Raddurchmesser links;Dlk;706,72;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Links Innen;BH;1,40;mm;Achtung
Achse62;Achsennummer;BV10909;Bremsscheibe Links Innen;Bst;5,05;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Links Innen;WS;3,66;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Links Außen;BH;1,07;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Links Außen;Bst;5,29;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Links Außen;WS;4,22;mm;i.o
Achse62;Achsennummer;BV10909;Spurkranz rechts;Sh;32,98;mm;i.o
Achse62;Achsennummer;BV10909;Spurkranz rechts;Sd;30,44;mm;i.o
Achse62;Achsennummer;BV10909;Spurkranz rechts;qR;11,24;mm;i.o
Achse62;Achsennummer;BV10909;Raddurchmesser Rechts;Dlk;706,51;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Rechts Innen;BH;1,52;mm;Achtung
Achse62;Achsennummer;BV10909;Bremsscheibe Rechts Innen;Bst;4,95;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Rechts Innen;WS;3,43;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Rechts Außen;BH;2,05;mm;n.i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Rechts Außen;Bst;4,85;mm;i.o
Achse62;Achsennummer;BV10909;Bremsscheibe Rechts Außen;WS;2,80;mm;i.o
Achse62;Achsennummer;BV10909;Differenz Durchmesser;DDA1;0,20;mm;i.o
Achse62;Achsennummer;BV10909;AR-Radinnenabstand;AR;unmeasured;mm;UNCLASSIFIED
Achse62;Achsennummer;BV10909;SR-Spurmaß;SR;unmeasured;mm;UNCLASSIFIED
Achse61;Achsennummer;BV11653;Spurkranz links;Sh;32,95;mm;i.o
Achse61;Achsennummer;BV11653;Spurkranz links;Sd;30,42;mm;i.o
Achse61;Achsennummer;BV11653;Spurkranz links;qR;11,07;mm;i.o
Achse61;Achsennummer;BV11653;Raddurchmesser links;Dlk;706,14;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Links Innen;BH;1,41;mm;Achtung
Achse61;Achsennummer;BV11653;Bremsscheibe Links Innen;Bst;4,83;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Links Innen;WS;3,42;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Links Außen;BH;0,49;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Links Außen;Bst;2,57;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Links Außen;WS;2,08;mm;i.o
Achse61;Achsennummer;BV11653;Spurkranz rechts;Sh;33,11;mm;i.o
Achse61;Achsennummer;BV11653;Spurkranz rechts;Sd;30,56;mm;i.o
Achse61;Achsennummer;BV11653;Spurkranz rechts;qR;11,24;mm;i.o
Achse61;Achsennummer;BV11653;Raddurchmesser Rechts;Dlk;706,52;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Rechts Innen;BH;1,84;mm;Achtung
Achse61;Achsennummer;BV11653;Bremsscheibe Rechts Innen;Bst;5,03;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Rechts Innen;WS;3,19;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Rechts Außen;BH;0,46;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Rechts Außen;Bst;3,03;mm;i.o
Achse61;Achsennummer;BV11653;Bremsscheibe Rechts Außen;WS;2,57;mm;i.o
Achse61;Achsennummer;BV11653;Differenz Durchmesser;DDA1;0,39;mm;i.o
Achse61;Achsennummer;BV11653;AR-Radinnenabstand;AR;unmeasured;mm;UNCLASSIFIED
Achse61;Achsennummer;BV11653;SR-Spurmaß;SR;unmeasured;mm;UNCLASSIFIED
Achse24;Achsennummer;BV10847;Spurkranz links;Sh;32,92;mm;i.o
Achse24;Achsennummer;BV10847;Spurkranz links;Sd;30,49;mm;i.o
Achse24;Achsennummer;BV10847;Spurkranz links;qR;11,24;mm;i.o
Achse24;Achsennummer;BV10847;Raddurchmesser links;Dlk;757,78;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Links Innen;BH;1,21;mm;Achtung
Achse24;Achsennummer;BV10847;Bremsscheibe Links Innen;Bst;3,48;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Links Innen;WS;2,27;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Links Außen;BH;0,95;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Links Außen;Bst;3,11;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Links Außen;WS;2,16;mm;i.o
Achse24;Achsennummer;BV10847;Spurkranz rechts;Sh;33,07;mm;i.o
Achse24;Achsennummer;BV10847;Spurkranz rechts;Sd;30,59;mm;i.o
Achse24;Achsennummer;BV10847;Spurkranz rechts;qR;11,30;mm;i.o
Achse24;Achsennummer;BV10847;Raddurchmesser Rechts;Dlk;758,08;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Rechts Innen;BH;1,14;mm;Achtung
Achse24;Achsennummer;BV10847;Bremsscheibe Rechts Innen;Bst;3,38;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Rechts Innen;WS;2,24;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Rechts Außen;BH;1,08;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Rechts Außen;Bst;3,33;mm;i.o
Achse24;Achsennummer;BV10847;Bremsscheibe Rechts Außen;WS;2,25;mm;i.o
Achse24;Achsennummer;BV10847;Differenz Durchmesser;DDA1;0,30;mm;i.o
Achse24;Achsennummer;BV10847;AR-Radinnenabstand;AR;unmeasured;mm;UNCLASSIFIED
Achse24;Achsennummer;BV10847;SR-Spurmaß;SR;unmeasured;mm;UNCLASSIFIED
Achse23;Achsennummer;BV11569;Spurkranz links;Sh;33,04;mm;i.o
Achse23;Achsennummer;BV11569;Spurkranz links;Sd;30,46;mm;i.o
Achse23;Achsennummer;BV11569;Spurkranz links;qR;11,10;mm;i.o
